id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1439571030398414848,1439536571116658689,2021-09-19 17:44:14 PKT,2021-09-19,17:44:14,+0500,1029375688007208962,dj_chachoo,Wajeeh,,"@seriousnahihona Probably Pakistan sent the same baba(s) who fought in 65 war 😉. Only they can stay on the 5th floor of the Serena hotel, which only has 2 floors 😇",en,[],[],[],0,0,0,[],[],https://twitter.com/DJ_Chachoo/status/1439571030398414848,False,,0,,,,,,,,"[{'screen_name': 'seriousnahihona', 'name': '🤖✊∆$|F', 'id': '911070161440006146'}]",,,,
1439571027638423563,1439549307690971137,2021-09-19 17:44:13 PKT,2021-09-19,17:44:13,+0500,1435142825557970944,kabir83763128,Kabir sharma😎😈,,@SyedAsg40342647 @majorgauravarya @atahasnain53 @ChanakyaForum Line laga ke bheek mangte ho medical visas ke liye apne papa india se tum log..life saving drugs se lekar basic fever medicine ke raw material tum india se import karte ho warna medical crisis ajayenge pakistan mei..AUKAAT HAI TERI TO COMMENT ON OUR MEDICAL FACILITIES JAHIL..  https://t.co/wiEnqg7ZuQ,in,[],[],"['https://pbs.twimg.com/media/E_piM-NVQAEJau9.jpg', 'https://pbs.twimg.com/media/E_piNVUUYAUTGnH.jpg', 'https://pbs.twimg.com/media/E_piNsRVUAMQrmN.jpg', 'https://pbs.twimg.com/media/E_piOFFVEAgBZol.jpg']",0,0,0,[],[],https://twitter.com/Kabir83763128/status/1439571027638423563,False,,1,https://pbs.twimg.com/media/E_piM-NVQAEJau9.jpg,,,,,,,"[{'screen_name': 'SyedAsg40342647', 'name': 'Syed Asgar', 'id': '1257924446288932864'}, {'screen_name': 'majorgauravarya', 'name': 'Major Gaurav Arya (Retd)', 'id': '758859344561569792'}, {'screen_name': 'atahasnain53', 'name': 'Syed Ata Hasnain', 'id': '1568616944'}, {'screen_name': 'ChanakyaForum', 'name': 'Chanakya Forum', 'id': '1309128704916893700'}]",,,,
1439571026946392065,1439069374246109189,2021-09-19 17:44:13 PKT,2021-09-19,17:44:13,+0500,1389548573193236482,rajput31805363,Rajput,,@SammyMirza2 @Neeleshkumarsi7 @rabbia_bibi @Shivaraj_HR @majorgauravarya Pakistan ak Cancer state hai jha pakistan ki army apna ... Mrwati hai vdo chaiye to bolo abhi send karun,hi,[],[],[],0,0,0,[],[],https://twitter.com/Rajput31805363/status/1439571026946392065,False,,0,,,,,,,,"[{'screen_name': 'SammyMirza2', 'name': 'Sammy Mirza', 'id': '1133649928625041409'}, {'screen_name': 'Neeleshkumarsi7', 'name': 'Neelesh kumar singh', 'id': '724220230969528322'}, {'screen_name': 'rabbia_bibi', 'name': 'Rabbia bibi. ملک دشمنوں کے سامنے ڈھال', 'id': '1306835377739661312'}, {'screen_name': 'Shivaraj_HR', 'name': 'Shivaraj H R', 'id': '302503777'}, {'screen_name': 'majorgauravarya', 'name': 'Major Gaurav Arya (Retd)', 'id': '758859344561569792'}]",,,,
1439571023867883529,1439571023867883529,2021-09-19 17:44:12 PKT,2021-09-19,17:44:12,+0500,973139651463667712,intelabdullah,Abdullah,,A high ranking source within the TTP informed me the Government tried to meet them halfway and is ready to hand over Bajaur &amp; Waziristan to the Tehrik-e-Taliban Pakistan.  The TTP are standing their grounds.,en,[],[],[],0,0,0,[],[],https://twitter.com/IntelAbdullah/status/1439571023867883529,False,,0,,,,,,,,[],,,,
1439571011570044934,1439571011570044934,2021-09-19 17:44:09 PKT,2021-09-19,17:44:09,+0500,97978217,habibpk,Habib Ur Rahman,,#ShameOnBlackCaps #ShameOnBlackCaps  The security situation in Pakistan is great and satisfactory...,en,[],[],[],0,0,0,"['shameonblackcaps', 'shameonblackcaps']",[],https://twitter.com/HabibPK/status/1439571011570044934,False,,0,,,,,,,,[],,,,
1439571010899042309,1439151702083571716,2021-09-19 17:44:09 PKT,2021-09-19,17:44:09,+0500,1197504519472631808,khurram15689,KhUrrAm,,@iamAhmadshahzad @ECB_cricket Dear England  The Pakistan cricket team has made millions of pounds for you over the last several years. Pak visited during Corona time even in difficult circumstances and the players. Now it is time to pay back the gratitude by visiting Pak. Pak is safe.,en,[],[],[],0,0,0,[],[],https://twitter.com/Khurram15689/status/1439571010899042309,False,,0,,,,,,,,"[{'screen_name': 'iamAhmadshahzad', 'name': 'Ahmad Shahzad 🇵🇰', 'id': '1417829894'}, {'screen_name': 'ECB_cricket', 'name': 'England and Wales Cricket Board', 'id': '18673041'}]",,,,
1439571003454246917,1439571003454246917,2021-09-19 17:44:07 PKT,2021-09-19,17:44:07,+0500,1302555233734791170,ambreenali87,Ambreen Ali,,"As 1st response to cancellation of @BLACKCAPS tour #Pakistan blamed #ICC &amp; #BCI of India, accusing them of conspiracy. Its only now that it's becoming clear that there was a serious danger &amp; that too from #PakArmy's proxy #TTP itself.  @Vikram_Sood @a_siab  https://t.co/j1KL6vFqia",en,"[{'screen_name': 'blackcaps', 'name': 'blackcaps', 'id': '21367580'}, {'screen_name': 'vikram_sood', 'name': 'vikram sood', 'id': '53256946'}, {'screen_name': 'a_siab', 'name': 'afrasiab khattak', 'id': '1265060760'}]",['https://youtu.be/A9gtMQWfiDI'],[],0,0,0,"['pakistan', 'icc', 'bci', 'pakarmy', 'ttp']",[],https://twitter.com/ambreenali87/status/1439571003454246917,False,,0,,,,,,,,[],,,,
1439570999066906626,1439299990736756737,2021-09-19 17:44:06 PKT,2021-09-19,17:44:06,+0500,1439562114444713984,armanpervez1,Arman Pervez,,@henrygayle Welcome Pakistan,en,[],[],[],0,0,0,[],[],https://twitter.com/ArmanPervez1/status/1439570999066906626,False,,0,,,,,,,,"[{'screen_name': 'henrygayle', 'name': 'Chris Gayle', 'id': '45452226'}]",,,,
1439570997255065604,1439557288176623616,2021-09-19 17:44:06 PKT,2021-09-19,17:44:06,+0500,1253025938247483393,mohsinshabirms,mohsin shabir,,@MichaelVaughan Hear what you’re saying Michael but if I was Pakistan I would refuse to play there. This is all a load of Political BS!   Unless there’s CLEAR evidence to suggest it’s unsafe.   Not some hocus pocus crap @BLACKCAPS came up with.   Full confidence in @iramizraja to sort the mess.,en,"[{'screen_name': 'blackcaps', 'name': 'blackcaps', 'id': '21367580'}, {'screen_name': 'iramizraja', 'name': 'ramiz raja', 'id': '4908027275'}]",[],[],0,0,0,[],[],https://twitter.com/mohsinshabirMS/status/1439570997255065604,False,,0,,,,,,,,"[{'screen_name': 'MichaelVaughan', 'name': 'Michael Vaughan', 'id': '97893963'}]",,,,
1439570986635046913,1439570986635046913,2021-09-19 17:44:03 PKT,2021-09-19,17:44:03,+0500,1154621471404302342,salekardoo,Sale Kardo - Online Marketplace in Pakistan,,Want to exchange or sell your cell phone. Download Sale Kardo App and Post a free Ad.   Reach thousands of of buyers and sellers near you.  Online Marketplace in #Pakistan,en,[],[],[],0,0,0,['pakistan'],[],https://twitter.com/salekardoo/status/1439570986635046913,False,,0,,,,,,,,[],,,,
